scope,modelo,alcance,segmento,tramo_real,n,coverage_aparente,width_mean,width_median,lower_mean,upper_mean
segmento_pred_tramo,XGB,tramo_real,todos,3-6,680,0.9279411764705883,9.857404377970589,6.949050360000001,1.1785585921617645,11.035962970132353
segmento_pred_tramo,XGB,tramo_real,todos,7-13,249,0.8674698795180723,19.782232195502004,14.691461309999992,1.8060568606224898,21.5882890561245
segmento_pred_tramo,LR,segmento,programado,todos,1693,0.8984051978735972,9.021309428413698,7.391643877667036,1.1644252562293682,10.185734684643066
segmento_pred_tramo,LR,segmento,urgente,todos,698,0.8968481375358166,28.890484951308288,21.59725897361267,8.677125822966723,37.56761077427501
segmento_pred_tramo,RF,segmento,programado,todos,1693,0.8972238629651507,8.445734973135863,7.053213593018772,1.1727968093178383,9.618531782453703
segmento_pred_tramo,RF,segmento,urgente,todos,698,0.8968481375358166,22.529513892727085,14.27735231283588,2.374859176773121,24.90437306950021
segmento_pred_tramo,XGB,segmento,programado,todos,1693,0.8972238629651507,7.432102995691672,6.94905036,1.4389716253691671,8.87107462106084
segmento_pred_tramo,XGB,segmento,urgente,todos,698,0.8968481375358166,21.963300523717763,14.69146130999999,2.714692877829513,24.677993401547273
segmento_pred_tramo,LR,segmento_tramo_real,programado,0-2,983,0.9226856561546287,4.078728959987695,2.7299592970494,0.5320562277879752,4.610785187775671
segmento_pred_tramo,LR,segmento_tramo_real,programado,14+ (PLOS),99,0.6767676767676768,46.1178469879495,39.841108729050354,6.513991497834448,52.63183848578395
segmento_pred_tramo,LR,segmento_tramo_real,programado,3-6,501,0.9261477045908184,9.181425906179395,7.562729427963135,1.2297082146277587,10.411134120807153
segmento_pred_tramo,LR,segmento_tramo_real,programado,7-13,110,0.7545454545454545,19.073864216669143,7.562729427963136,1.7035610278783968,20.777425244547548
segmento_pred_tramo,LR,segmento_tramo_real,urgente,0-2,200,0.875,14.820142899631117,7.637369289240066,0.306844808204771,15.126987707835884
segmento_pred_tramo,LR,segmento_tramo_real,urgente,14+ (PLOS),180,0.7833333333333333,52.678716977319596,33.77348655284688,31.931698362820065,84.61041534013967
segmento_pred_tramo,LR,segmento_tramo_real,urgente,3-6,179,0.9776536312849162,21.55354192294547,21.597258973612668,0.705466805875537,22.25900872882101
segmento_pred_tramo,LR,segmento_tramo_real,urgente,7-13,139,0.9712230215827338,27.7789701867784,32.71298660630101,0.8725222966221876,28.651492483400588
segmento_pred_tramo,RF,segmento_tramo_real,programado,0-2,983,0.9216683621566633,4.161694159824136,3.0103718688260614,0.5326954354567753,4.694389595280912
segmento_pred_tramo,RF,segmento_tramo_real,programado,14+ (PLOS),99,0.7878787878787878,40.951022304224246,49.75096915570557,6.8581526123576415,47.8091749165819
segmento_pred_tramo,RF,segmento_tramo_real,programado,3-6,501,0.9121756487025948,8.113285666040374,7.245926854851361,1.141309621974046,9.25459528801442
segmento_pred_tramo,RF,segmento_tramo_real,programado,7-13,110,0.7090909090909091,18.988878396431474,7.245926854851362,1.9195650535335158,20.908443449964984
segmento_pred_tramo,RF,segmento_tramo_real,urgente,0-2,200,0.875,11.493912715756732,13.284901284012095,0.31570259566297315,11.809615311419707
segmento_pred_tramo,RF,segmento_tramo_real,urgente,14+ (PLOS),180,0.8166666666666667,39.7483400225395,51.94645337072264,6.629190536011922,46.377530558551435
segmento_pred_tramo,RF,segmento_tramo_real,urgente,3-6,179,0.9441340782122905,16.65790217185202,14.277352312835879,0.9066735739189298,17.564575745770952
segmento_pred_tramo,RF,segmento_tramo_real,urgente,7-13,139,0.9712230215827338,23.671600439953494,25.07699927131776,1.7191533815928717,25.390753821546365
