metrica,valor,ic95_inf,ic95_sup,n_boot,n,modelo,alcance,segmento,tramo_real
medae,10.4780807,9.14508,11.759843,3000,279,XGB,tramo_real,todos,14+ (PLOS)
me_sesgo_pred_menos_real,-9.115363445519714,-11.141491846487453,-7.123259149740143,3000,279,XGB,tramo_real,todos,14+ (PLOS)
pup_subestimacion,0.7885304659498208,0.7418458781362007,0.8351254480286738,3000,279,XGB,tramo_real,todos,14+ (PLOS)
mae_asimetrico_alpha_2,25.060006009319,21.953218918799287,28.474886177867383,3000,279,XGB,tramo_real,todos,14+ (PLOS)
pct_error_abs_le_1d,0.05734767025089606,0.03225806451612903,0.08602150537634409,3000,279,XGB,tramo_real,todos,14+ (PLOS)
pct_error_abs_le_3d,0.16487455197132617,0.12186379928315412,0.2078853046594982,3000,279,XGB,tramo_real,todos,14+ (PLOS)
pct_error_abs_le_7d,0.3225806451612903,0.26523297491039427,0.3764336917562727,3000,279,XGB,tramo_real,todos,14+ (PLOS)
precision_plos_14,1.0,1.0,1.0,3000,279,XGB,tramo_real,todos,14+ (PLOS)
recall_plos_14,0.5878136200716846,0.5304659498207885,0.6451612903225806,3000,279,XGB,tramo_real,todos,14+ (PLOS)
f1_plos_14,0.7404063205417607,0.6932084309133489,0.7843137254901961,3000,279,XGB,tramo_real,todos,14+ (PLOS)
accuracy_plos_14,0.5878136200716846,0.5304659498207885,0.6451612903225806,3000,279,XGB,tramo_real,todos,14+ (PLOS)
n_plos_real_14,279.0,,,3000,279,XGB,tramo_real,todos,14+ (PLOS)
n_plos_pred_14,164.0,,,3000,279,XGB,tramo_real,todos,14+ (PLOS)
tn_plos_14,0.0,,,3000,279,XGB,tramo_real,todos,14+ (PLOS)
fp_plos_14,0.0,,,3000,279,XGB,tramo_real,todos,14+ (PLOS)
fn_plos_14,115.0,,,3000,279,XGB,tramo_real,todos,14+ (PLOS)
tp_plos_14,164.0,,,3000,279,XGB,tramo_real,todos,14+ (PLOS)
