p_code;p_caract_3;p_caract_1;grupo_final;nivel_agrupacion;pacientes_p_code;pacientes_p_caract_3;pacientes_p_caract_1
0QSHXZZ;0QS;0;0QS;categoria_3_char;1;304;9118
0QSKXZZ;0QS;0;0QS;categoria_3_char;1;304;9118
0QC83ZZ;0QC;0;rare_sec_0;seccion_rare;1;1;9118
BW211ZZ;BW2;B;BW2;categoria_3_char;3;63;1410
0Y6Q0Z1;0Y6;0;0Y6;categoria_3_char;1;66;9118
0PSC44Z;0PS;0;0PS;categoria_3_char;1;181;9118
0NR10JZ;0NR;0;rare_sec_0;seccion_rare;1;3;9118
0SNM0ZZ;0SN;0;rare_sec_0;seccion_rare;1;4;9118
0DLK8DZ;0DL;0;rare_sec_0;seccion_rare;2;8;9118
0DLN8DZ;0DL;0;rare_sec_0;seccion_rare;1;8;9118
0D758ZZ;0D7;0;0D7;categoria_3_char;2;20;9118
4A033B1;4A0;4;4A0;categoria_3_char;1;723;2157
0YQ80ZZ;0YQ;0;rare_sec_0;seccion_rare;1;16;9118
3E0130M;3E0;3;3E0;categoria_3_char;1;1527;2182
079100Z;079;0;rare_sec_0;seccion_rare;1;17;9118
0F9940Z;0F9;0;0F9;categoria_3_char;1;46;9118
0FPB3DZ;0FP;0;0FP;categoria_3_char;1;23;9118
079H00Z;079;0;rare_sec_0;seccion_rare;1;17;9118
09QKXZZ;09Q;0;09Q;categoria_3_char;1;94;9118
0HBLXZZ;0HB;0;0HB;categoria_3_char;7;206;9118
047K04Z;047;0;047;categoria_3_char;1;164;9118
00B10ZZ;00B;0;00B;categoria_3_char;6;30;9118
0NB10ZZ;0NB;0;0NB;categoria_3_char;1;22;9118
0UL70ZZ;0UL;0;rare_sec_0;seccion_rare;3;16;9118
0J070ZZ;0J0;0;0J0;categoria_3_char;1;20;9118
0TC18ZZ;0TC;0;0TC;categoria_3_char;2;35;9118
0PRN07Z;0PR;0;rare_sec_0;seccion_rare;1;7;9118
0TQB4ZZ;0TQ;0;rare_sec_0;seccion_rare;2;11;9118
B310YZZ;B31;B;B31;categoria_3_char;1;48;1410
B210YZZ;B21;B;B21;categoria_3_char;1;644;1410
0LBP4ZZ;0LB;0;0LB;categoria_3_char;1;83;9118
0LXP4ZZ;0LX;0;rare_sec_0;seccion_rare;1;12;9118
0D9P40Z;0D9;0;0D9;categoria_3_char;1;104;9118
0DBN4ZZ;0DB;0;0DB;categoria_3_char;6;882;9118
0DJD7ZZ;0DJ;0;0DJ;categoria_3_char;3;529;9118
3E1M38Z;3E1;3;3E1;categoria_3_char;2;63;2182
0QSF04Z;0QS;0;0QS;categoria_3_char;3;304;9118
027136Z;027;0;027;categoria_3_char;3;299;9118
10A07ZX;10A;1;rare_sec_1;seccion_rare;1;4;1060
0H9T0ZZ;0H9;0;0H9;categoria_3_char;2;28;9118
3E0536Z;3E0;3;3E0;categoria_3_char;1;1527;2182
BF141ZZ;BF1;B;BF1;categoria_3_char;3;87;1410
02RF0JZ;02R;0;02R;categoria_3_char;6;75;9118
B31P1ZZ;B31;B;B31;categoria_3_char;2;48;1410
