segmento,precision,recall,thresholds
global,0.16108545034642033,1.0,0.005366507
global,0.1611785095320624,1.0,0.0053991256
global,0.16136495083863506,1.0,0.00541794
global,0.16145833333333334,1.0,0.0054425416
global,0.16155182397220613,1.0,0.0054589384
global,0.16164542294322132,1.0,0.005460098
global,0.1617391304347826,1.0,0.0054646726
global,0.16183294663573086,1.0,0.005467319
global,0.16192687173534534,1.0,0.0054692747
global,0.16202090592334495,1.0,0.0054753837
global,0.1621150493898896,1.0,0.0054875095
global,0.1622093023255814,1.0,0.005500928
global,0.16230366492146597,1.0,0.0055108755
global,0.16239813736903377,1.0,0.005516071
global,0.16249271986022132,1.0,0.0055319057
global,0.16258741258741258,1.0,0.005558677
global,0.16268221574344024,1.0,0.00557692
global,0.16277712952158693,1.0,0.0055772243
global,0.1628721541155867,1.0,0.0055819233
global,0.16296728971962618,1.0,0.0055888807
global,0.16306253652834599,1.0,0.0056202495
global,0.1631578947368421,1.0,0.005676205
global,0.16325336454066705,1.0,0.005695026
global,0.16334894613583137,1.0,0.005696298
global,0.1634446397188049,1.0,0.00570588
global,0.16354044548651817,1.0,0.0057144677
global,0.16363636363636364,1.0,0.0057213726
global,0.1637323943661972,1.0,0.005735185
global,0.1638285378743394,1.0,0.0057411673
global,0.16392479435957696,1.0,0.005759089
global,0.164021164021164,1.0,0.005761833
global,0.16411764705882353,1.0,0.0057751024
global,0.16431095406360424,1.0,0.0057755406
global,0.164407778432528,1.0,0.005792695
global,0.1645047169811321,1.0,0.005807279
global,0.16460176991150444,1.0,0.005840916
global,0.16469893742621014,1.0,0.0058740387
global,0.16479621972829298,1.0,0.0058770557
global,0.16489361702127658,1.0,0.005891303
global,0.16499112950916617,1.0,0.0059717926
global,0.1650887573964497,1.0,0.0059885276
global,0.16518650088809947,1.0,0.0060198517
global,0.16528436018957346,1.0,0.006030858
global,0.16538233550681683,1.0,0.006061758
global,0.16548042704626334,1.0,0.006070196
global,0.1655786350148368,1.0,0.0060812104
global,0.1656769596199525,1.0,0.0061081275
global,0.1657754010695187,1.0,0.0061389706
global,0.16587395957193818,1.0,0.006177839
global,0.16597263533610945,1.0,0.006178741
global,0.16547619047619047,0.996415770609319,0.006191737
global,0.16557474687313878,0.996415770609319,0.0062008426
global,0.16567342073897498,0.996415770609319,0.006213868
global,0.1657722122838402,0.996415770609319,0.0062291212
global,0.1658711217183771,0.996415770609319,0.0062358286
global,0.16597014925373135,0.996415770609319,0.0062701493
global,0.16606929510155316,0.996415770609319,0.0062784054
global,0.1661685594739988,0.996415770609319,0.006279732
global,0.16626794258373206,0.996415770609319,0.00628476
global,0.1663674446439258,0.996415770609319,0.0062994794
global,0.1664670658682635,0.996415770609319,0.0063042603
global,0.1665668064709407,0.996415770609319,0.006307852
global,0.16666666666666666,0.996415770609319,0.006404313
global,0.16676664667066587,0.996415770609319,0.0064057237
global,0.16686674669867949,0.996415770609319,0.0064125834
global,0.16696696696696697,0.996415770609319,0.00641976
global,0.16706730769230768,0.996415770609319,0.0064214095
global,0.1671677690920024,0.996415770609319,0.0064412206
global,0.16726835138387486,0.996415770609319,0.006447956
global,0.16736905478627334,0.996415770609319,0.006450642
global,0.1674698795180723,0.996415770609319,0.0064762747
global,0.1675708257986739,0.996415770609319,0.0065054656
global,0.16767189384800965,0.996415770609319,0.006529297
global,0.16777308388654194,0.996415770609319,0.006545535
global,0.16797583081570996,0.996415770609319,0.0065838997
global,0.16807738814993953,0.996415770609319,0.006585403
global,0.16817906836055657,0.996415770609319,0.006620678
global,0.1682808716707022,0.996415770609319,0.006692965
global,0.16838279830405814,0.996415770609319,0.0067069023
global,0.1684848484848485,0.996415770609319,0.0067171482
global,0.16858702243784113,0.996415770609319,0.006726955
global,0.16868932038834952,0.996415770609319,0.0067875753
global,0.16879174256223436,0.996415770609319,0.0067982753
global,0.16889428918590524,0.996415770609319,0.0068174233
global,0.16899696048632218,0.996415770609319,0.006817717
global,0.16909975669099755,0.996415770609319,0.00685893
global,0.16920267802799757,0.996415770609319,0.0068806517
global,0.16930572472594396,0.996415770609319,0.0068951505
global,0.16940889701401585,0.996415770609319,0.0069728927
global,0.16951219512195123,0.996415770609319,0.007043226
global,0.1696156192800488,0.996415770609319,0.00705719
global,0.16971916971916973,0.996415770609319,0.007068268
global,0.16982284667073916,0.996415770609319,0.007089074
global,0.16992665036674817,0.996415770609319,0.0071092946
global,0.1701346389228886,0.996415770609319,0.00711124
global,0.1702388242498469,0.996415770609319,0.0071237255
global,0.17034313725490197,0.996415770609319,0.0071294005
global,0.17044757817290007,0.996415770609319,0.007131561
global,0.1705521472392638,0.996415770609319,0.007136995
global,0.17065684468999387,0.996415770609319,0.0071591306
global,0.17076167076167076,0.996415770609319,0.0071711047
global,0.17086662569145666,0.996415770609319,0.007185752
global,0.17097170971709716,0.996415770609319,0.0071873167
global,0.17107692307692307,0.996415770609319,0.0072293407
global,0.17118226600985223,0.996415770609319,0.0072403206
